2019-01-15 17:10:12.305000: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:10:12.305132: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.020: took 78.771 ms
[   1] 0.099: took 19.387 ms
[   2] 0.118: took 19.125 ms
[   3] 0.138: took 19.155 ms
[   4] 0.157: took 19.087 ms
[   5] 0.176: took 19.121 ms
[   6] 0.195: took 19.074 ms
[   7] 0.214: took 18.959 ms
[   8] 0.233: took 19.049 ms
[   9] 0.252: took 19.250 ms
[  10] 0.272: took 19.080 ms
[  11] 0.291: took 19.545 ms
[  12] 0.311: took 18.896 ms
[  13] 0.330: took 18.990 ms
[  14] 0.349: took 19.296 ms
[  15] 0.368: took 18.937 ms
[  16] 0.387: took 19.018 ms
[  17] 0.406: took 19.041 ms
[  18] 0.425: took 19.047 ms
[  19] 0.444: took 19.183 ms
[  20] 0.463: took 19.113 ms
[  21] 0.483: took 20.029 ms
[  22] 0.503: took 19.006 ms
[  23] 0.522: took 19.323 ms
[  24] 0.541: took 19.012 ms
[  25] 0.560: took 18.995 ms
[  26] 0.579: took 19.086 ms
[  27] 0.599: took 19.032 ms
[  28] 0.618: took 19.030 ms
[  29] 0.637: took 19.256 ms
[  30] 0.656: took 18.912 ms
[  31] 0.675: took 19.112 ms
[  32] 0.694: took 18.989 ms
[  33] 0.713: took 19.034 ms
[  34] 0.732: took 19.593 ms
[  35] 0.752: took 19.046 ms
[  36] 0.771: took 19.459 ms
[  37] 0.791: took 18.965 ms
[  38] 0.810: took 19.613 ms
[  39] 0.829: took 19.627 ms
[  40] 0.849: took 18.873 ms
[  41] 0.868: took 19.037 ms
[  42] 0.887: took 19.355 ms
[  43] 0.907: took 19.079 ms
[  44] 0.926: took 19.225 ms
[  45] 0.945: took 19.042 ms
[  46] 0.964: took 18.860 ms
[  47] 0.983: took 19.253 ms
[  48] 1.002: took 19.145 ms
[  49] 1.022: took 19.191 ms
[  50] 1.041: took 18.977 ms
[  51] 1.060: took 19.270 ms
[  52] 1.079: took 19.231 ms
[  53] 1.098: took 19.675 ms
[  54] 1.118: took 19.656 ms
[  55] 1.138: took 20.215 ms
[  56] 1.158: took 19.065 ms
[  57] 1.177: took 19.372 ms
[  58] 1.197: took 18.932 ms
[  59] 1.216: took 19.032 ms
[  60] 1.235: took 19.031 ms
[  61] 1.254: took 18.995 ms
[  62] 1.273: took 19.139 ms
[  63] 1.292: took 19.158 ms
[  64] 1.311: took 19.243 ms
[  65] 1.331: took 18.934 ms
[  66] 1.350: took 19.133 ms
[  67] 1.369: took 19.222 ms
[  68] 1.388: took 19.081 ms
[  69] 1.407: took 19.064 ms
[  70] 1.426: took 18.784 ms
[  71] 1.445: took 19.239 ms
[  72] 1.465: took 19.120 ms
[  73] 1.484: took 19.172 ms
[  74] 1.503: took 18.958 ms
[  75] 1.522: took 19.097 ms
[  76] 1.541: took 19.134 ms
[  77] 1.561: took 19.224 ms
[  78] 1.580: took 19.081 ms
[  79] 1.600: took 19.118 ms
[  80] 1.620: took 18.998 ms
[  81] 1.640: took 19.064 ms
[  82] 1.660: took 19.165 ms
[  83] 1.680: took 19.210 ms
[  84] 1.700: took 19.241 ms
[  85] 1.720: took 18.957 ms
[  86] 1.740: took 19.155 ms
[  87] 1.760: took 18.984 ms
[  88] 1.780: took 19.101 ms
[  89] 1.800: took 19.086 ms
[  90] 1.820: took 18.922 ms
[  91] 1.840: took 18.953 ms
[  92] 1.860: took 18.935 ms
[  93] 1.880: took 19.119 ms
[  94] 1.900: took 18.758 ms
[  95] 1.920: took 19.244 ms
[  96] 1.940: took 19.255 ms
[  97] 1.960: took 19.216 ms
[  98] 1.980: took 19.119 ms
[  99] 2.000: took 19.214 ms
[ 100] 2.020: took 19.288 ms
[ 101] 2.040: took 19.066 ms
[ 102] 2.060: took 19.179 ms
[ 103] 2.080: took 19.160 ms
[ 104] 2.100: took 18.971 ms
[ 105] 2.120: took 19.194 ms
[ 106] 2.140: took 19.103 ms
[ 107] 2.160: took 18.772 ms
[ 108] 2.180: took 18.945 ms
[ 109] 2.200: took 18.956 ms
[ 110] 2.220: took 18.865 ms
[ 111] 2.240: took 19.086 ms
[ 112] 2.260: took 18.933 ms
[ 113] 2.280: took 18.892 ms
[ 114] 2.300: took 19.058 ms
[ 115] 2.320: took 19.150 ms
[ 116] 2.340: took 19.074 ms
[ 117] 2.360: took 19.617 ms
[ 118] 2.380: took 19.153 ms
[ 119] 2.400: took 19.116 ms
[ 120] 2.420: took 20.619 ms
[ 121] 2.441: took 18.924 ms
[ 122] 2.460: took 18.907 ms
[ 123] 2.480: took 19.090 ms
[ 124] 2.500: took 19.020 ms
[ 125] 2.520: took 19.152 ms
[ 126] 2.540: took 18.982 ms
[ 127] 2.560: took 19.111 ms
[ 128] 2.580: took 19.152 ms
[ 129] 2.600: took 19.787 ms
[ 130] 2.620: took 24.332 ms
[ 131] 2.645: took 19.085 ms
[ 132] 2.664: took 19.148 ms
[ 133] 2.683: took 19.258 ms
[ 134] 2.702: took 19.001 ms
[ 135] 2.721: took 19.111 ms
[ 136] 2.741: took 18.963 ms
[ 137] 2.760: took 19.130 ms
[ 138] 2.780: took 19.020 ms
[ 139] 2.800: took 19.042 ms
[ 140] 2.820: took 18.849 ms
[ 141] 2.840: took 19.316 ms
[ 142] 2.860: took 19.109 ms
[ 143] 2.880: took 19.291 ms
[ 144] 2.900: took 18.978 ms
[ 145] 2.920: took 19.141 ms
[ 146] 2.940: took 18.944 ms
[ 147] 2.960: took 19.125 ms
[ 148] 2.980: took 19.116 ms
[ 149] 3.000: took 19.002 ms
[ 150] 3.020: took 19.196 ms
[ 151] 3.040: took 18.921 ms
[ 152] 3.060: took 19.247 ms
[ 153] 3.080: took 19.149 ms
[ 154] 3.100: took 18.854 ms
[ 155] 3.120: took 19.040 ms
[ 156] 3.140: took 19.321 ms
[ 157] 3.160: took 19.152 ms
[ 158] 3.180: took 18.940 ms
[ 159] 3.200: took 19.142 ms
[ 160] 3.220: took 19.115 ms
[ 161] 3.240: took 19.482 ms
[ 162] 3.260: took 19.084 ms
[ 163] 3.280: took 18.845 ms
[ 164] 3.300: took 19.112 ms
[ 165] 3.320: took 19.300 ms
