2019-01-15 17:36:28.035681: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:36:28.035784: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.040: took 23.765 ms
[   1] 0.080: took 10.346 ms
[   2] 0.120: took 9.787 ms
[   3] 0.160: took 9.771 ms
[   4] 0.200: took 9.309 ms
[   5] 0.240: took 8.921 ms
[   6] 0.280: took 8.605 ms
[   7] 0.320: took 8.973 ms
[   8] 0.360: took 8.653 ms
[   9] 0.400: took 8.647 ms
[  10] 0.440: took 8.651 ms
[  11] 0.480: took 8.688 ms
[  12] 0.520: took 8.603 ms
[  13] 0.560: took 8.583 ms
[  14] 0.600: took 8.627 ms
[  15] 0.640: took 8.661 ms
[  16] 0.680: took 8.643 ms
[  17] 0.720: took 8.550 ms
[  18] 0.760: took 8.692 ms
[  19] 0.800: took 8.644 ms
[  20] 0.840: took 8.500 ms
[  21] 0.880: took 9.309 ms
[  22] 0.920: took 10.631 ms
[  23] 0.960: took 9.636 ms
[  24] 1.000: took 10.342 ms
[  25] 1.040: took 9.499 ms
[  26] 1.080: took 8.641 ms
[  27] 1.120: took 8.654 ms
[  28] 1.160: took 8.666 ms
[  29] 1.200: took 8.784 ms
[  30] 1.240: took 9.791 ms
[  31] 1.280: took 9.364 ms
[  32] 1.320: took 8.639 ms
[  33] 1.360: took 8.599 ms
[  34] 1.400: took 8.600 ms
[  35] 1.440: took 8.568 ms
[  36] 1.480: took 9.808 ms
[  37] 1.520: took 9.604 ms
[  38] 1.560: took 9.311 ms
[  39] 1.600: took 9.306 ms
[  40] 1.640: took 8.705 ms
[  41] 1.680: took 8.747 ms
[  42] 1.720: took 8.550 ms
[  43] 1.760: took 8.663 ms
[  44] 1.800: took 9.892 ms
[  45] 1.840: took 9.620 ms
[  46] 1.880: took 9.397 ms
[  47] 1.920: took 8.808 ms
[  48] 1.960: took 8.724 ms
[  49] 2.000: took 10.189 ms
[  50] 2.040: took 8.583 ms
[  51] 2.080: took 8.644 ms
[  52] 2.120: took 10.644 ms
[  53] 2.160: took 9.453 ms
[  54] 2.200: took 9.926 ms
[  55] 2.240: took 9.710 ms
[  56] 2.280: took 9.715 ms
[  57] 2.320: took 9.008 ms
[  58] 2.360: took 9.378 ms
[  59] 2.400: took 8.665 ms
[  60] 2.440: took 9.760 ms
[  61] 2.480: took 8.608 ms
[  62] 2.520: took 8.890 ms
[  63] 2.560: took 8.755 ms
[  64] 2.600: took 8.623 ms
[  65] 2.640: took 8.692 ms
[  66] 2.680: took 8.620 ms
[  67] 2.720: took 9.615 ms
[  68] 2.760: took 10.099 ms
[  69] 2.800: took 12.265 ms
[  70] 2.840: took 8.632 ms
[  71] 2.880: took 10.181 ms
[  72] 2.920: took 8.581 ms
[  73] 2.960: took 8.636 ms
[  74] 3.000: took 8.539 ms
[  75] 3.040: took 10.183 ms
[  76] 3.080: took 9.246 ms
[  77] 3.120: took 9.728 ms
[  78] 3.160: took 9.935 ms
[  79] 3.200: took 9.063 ms
[  80] 3.240: took 8.544 ms
[  81] 3.280: took 8.620 ms
[  82] 3.320: took 8.581 ms
[  83] 3.360: took 10.600 ms
[  84] 3.400: took 10.083 ms
[  85] 3.440: took 9.406 ms
[  86] 3.480: took 8.623 ms
[  87] 3.520: took 8.553 ms
[  88] 3.560: took 9.458 ms
[  89] 3.600: took 8.866 ms
[  90] 3.640: took 9.014 ms
[  91] 3.680: took 10.342 ms
[  92] 3.720: took 8.764 ms
[  93] 3.760: took 9.592 ms
[  94] 3.800: took 9.224 ms
[  95] 3.840: took 8.698 ms
[  96] 3.880: took 8.744 ms
[  97] 3.920: took 8.648 ms
[  98] 3.960: took 9.074 ms
[  99] 4.000: took 10.449 ms
[ 100] 4.040: took 10.608 ms
[ 101] 4.080: took 8.701 ms
[ 102] 4.120: took 8.612 ms
[ 103] 4.160: took 8.564 ms
[ 104] 4.200: took 8.619 ms
[ 105] 4.240: took 8.889 ms
[ 106] 4.280: took 10.222 ms
[ 107] 4.320: took 10.608 ms
[ 108] 4.360: took 9.684 ms
[ 109] 4.400: took 9.597 ms
[ 110] 4.440: took 8.542 ms
[ 111] 4.480: took 8.602 ms
[ 112] 4.520: took 8.606 ms
[ 113] 4.560: took 8.785 ms
[ 114] 4.600: took 9.393 ms
[ 115] 4.640: took 10.227 ms
[ 116] 4.680: took 9.082 ms
[ 117] 4.720: took 9.912 ms
[ 118] 4.760: took 9.693 ms
[ 119] 4.800: took 8.506 ms
[ 120] 4.840: took 8.522 ms
[ 121] 4.880: took 8.754 ms
[ 122] 4.920: took 10.986 ms
[ 123] 4.960: took 10.793 ms
[ 124] 5.000: took 9.748 ms
[ 125] 5.040: took 8.604 ms
[ 126] 5.080: took 8.587 ms
[ 127] 5.120: took 8.653 ms
[ 128] 5.160: took 8.623 ms
[ 129] 5.200: took 8.676 ms
[ 130] 5.240: took 10.588 ms
[ 131] 5.280: took 9.657 ms
[ 132] 5.320: took 10.380 ms
[ 133] 5.360: took 9.853 ms
[ 134] 5.400: took 8.550 ms
[ 135] 5.440: took 8.551 ms
[ 136] 5.480: took 8.506 ms
[ 137] 5.520: took 8.691 ms
[ 138] 5.560: took 10.109 ms
[ 139] 5.600: took 9.181 ms
[ 140] 5.640: took 9.597 ms
[ 141] 5.680: took 9.222 ms
[ 142] 5.720: took 8.778 ms
[ 143] 5.760: took 8.699 ms
[ 144] 5.800: took 8.724 ms
[ 145] 5.840: took 10.623 ms
[ 146] 5.880: took 9.762 ms
[ 147] 5.920: took 10.305 ms
[ 148] 5.960: took 9.254 ms
[ 149] 6.000: took 8.562 ms
[ 150] 6.040: took 8.704 ms
[ 151] 6.080: took 8.655 ms
[ 152] 6.120: took 8.734 ms
[ 153] 6.160: took 10.194 ms
[ 154] 6.200: took 10.469 ms
[ 155] 6.240: took 9.739 ms
[ 156] 6.280: took 8.678 ms
[ 157] 6.320: took 9.256 ms
[ 158] 6.360: took 8.626 ms
[ 159] 6.400: took 8.672 ms
[ 160] 6.440: took 8.648 ms
[ 161] 6.480: took 10.362 ms
[ 162] 6.520: took 8.796 ms
[ 163] 6.560: took 9.147 ms
[ 164] 6.600: took 8.648 ms
[ 165] 6.640: took 9.597 ms
