2019-01-15 17:53:43.264337: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:53:43.264446: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.005: took 31.634 ms
[   1] 0.037: took 16.348 ms
[   2] 0.053: took 15.970 ms
[   3] 0.069: took 15.952 ms
[   4] 0.085: took 15.974 ms
[   5] 0.101: took 15.989 ms
[   6] 0.117: took 15.999 ms
[   7] 0.133: took 16.005 ms
[   8] 0.149: took 15.991 ms
[   9] 0.165: took 16.057 ms
[  10] 0.182: took 16.231 ms
[  11] 0.198: took 16.050 ms
[  12] 0.214: took 16.007 ms
[  13] 0.230: took 16.062 ms
[  14] 0.246: took 15.956 ms
[  15] 0.262: took 16.156 ms
[  16] 0.278: took 16.007 ms
[  17] 0.295: took 16.163 ms
[  18] 0.311: took 16.036 ms
[  19] 0.327: took 15.996 ms
[  20] 0.343: took 16.146 ms
[  21] 0.359: took 16.052 ms
[  22] 0.375: took 16.018 ms
[  23] 0.391: took 16.313 ms
[  24] 0.408: took 16.058 ms
[  25] 0.424: took 16.108 ms
[  26] 0.440: took 16.115 ms
[  27] 0.456: took 16.072 ms
[  28] 0.472: took 15.986 ms
[  29] 0.488: took 16.109 ms
[  30] 0.504: took 16.018 ms
[  31] 0.521: took 16.012 ms
[  32] 0.537: took 16.142 ms
[  33] 0.553: took 16.037 ms
[  34] 0.569: took 15.983 ms
[  35] 0.585: took 16.138 ms
[  36] 0.601: took 16.098 ms
[  37] 0.617: took 16.147 ms
[  38] 0.634: took 16.186 ms
[  39] 0.650: took 16.168 ms
[  40] 0.666: took 16.055 ms
[  41] 0.682: took 16.482 ms
[  42] 0.699: took 16.175 ms
[  43] 0.715: took 16.145 ms
[  44] 0.731: took 16.219 ms
[  45] 0.747: took 15.995 ms
[  46] 0.763: took 16.002 ms
[  47] 0.780: took 16.068 ms
[  48] 0.796: took 15.915 ms
[  49] 0.812: took 16.030 ms
[  50] 0.828: took 15.958 ms
[  51] 0.844: took 15.982 ms
[  52] 0.860: took 15.971 ms
[  53] 0.876: took 16.051 ms
[  54] 0.892: took 16.007 ms
[  55] 0.908: took 16.169 ms
[  56] 0.924: took 16.074 ms
[  57] 0.940: took 15.992 ms
[  58] 0.956: took 15.963 ms
[  59] 0.972: took 15.986 ms
[  60] 0.988: took 15.922 ms
[  61] 1.004: took 15.965 ms
[  62] 1.020: took 15.992 ms
[  63] 1.037: took 15.979 ms
[  64] 1.053: took 15.916 ms
[  65] 1.069: took 16.022 ms
[  66] 1.085: took 16.007 ms
[  67] 1.101: took 15.991 ms
[  68] 1.117: took 15.966 ms
[  69] 1.133: took 16.358 ms
[  70] 1.149: took 16.127 ms
[  71] 1.165: took 16.055 ms
[  72] 1.182: took 16.044 ms
[  73] 1.198: took 16.056 ms
[  74] 1.214: took 16.088 ms
[  75] 1.230: took 16.040 ms
[  76] 1.246: took 16.052 ms
[  77] 1.262: took 15.981 ms
[  78] 1.278: took 16.091 ms
[  79] 1.294: took 15.980 ms
[  80] 1.310: took 15.932 ms
[  81] 1.326: took 15.997 ms
[  82] 1.342: took 16.069 ms
[  83] 1.358: took 15.964 ms
[  84] 1.375: took 15.997 ms
[  85] 1.391: took 15.979 ms
[  86] 1.407: took 16.407 ms
[  87] 1.423: took 16.003 ms
[  88] 1.439: took 15.955 ms
[  89] 1.455: took 15.858 ms
[  90] 1.471: took 16.188 ms
[  91] 1.487: took 16.123 ms
[  92] 1.504: took 15.896 ms
[  93] 1.519: took 16.034 ms
[  94] 1.536: took 15.941 ms
[  95] 1.552: took 15.944 ms
[  96] 1.568: took 15.946 ms
[  97] 1.584: took 16.061 ms
[  98] 1.600: took 15.974 ms
[  99] 1.616: took 15.978 ms
[ 100] 1.632: took 16.047 ms
[ 101] 1.648: took 15.968 ms
[ 102] 1.664: took 15.962 ms
[ 103] 1.680: took 16.122 ms
[ 104] 1.696: took 16.041 ms
[ 105] 1.712: took 15.969 ms
[ 106] 1.728: took 15.913 ms
[ 107] 1.744: took 16.322 ms
[ 108] 1.761: took 16.018 ms
[ 109] 1.777: took 16.020 ms
[ 110] 1.793: took 15.919 ms
[ 111] 1.809: took 16.164 ms
[ 112] 1.825: took 15.969 ms
[ 113] 1.841: took 16.151 ms
[ 114] 1.857: took 15.984 ms
[ 115] 1.873: took 16.050 ms
[ 116] 1.889: took 16.057 ms
[ 117] 1.905: took 16.075 ms
[ 118] 1.922: took 16.106 ms
[ 119] 1.938: took 16.148 ms
[ 120] 1.954: took 15.998 ms
[ 121] 1.970: took 15.985 ms
[ 122] 1.986: took 15.959 ms
[ 123] 2.002: took 15.971 ms
[ 124] 2.018: took 16.030 ms
[ 125] 2.034: took 16.028 ms
[ 126] 2.050: took 16.003 ms
[ 127] 2.066: took 16.041 ms
[ 128] 2.082: took 16.022 ms
[ 129] 2.098: took 16.110 ms
[ 130] 2.115: took 15.985 ms
[ 131] 2.131: took 16.056 ms
[ 132] 2.147: took 16.019 ms
[ 133] 2.163: took 16.264 ms
[ 134] 2.179: took 16.204 ms
[ 135] 2.196: took 16.145 ms
[ 136] 2.212: took 16.114 ms
[ 137] 2.228: took 15.986 ms
[ 138] 2.244: took 16.189 ms
[ 139] 2.260: took 15.955 ms
[ 140] 2.276: took 16.007 ms
[ 141] 2.292: took 15.955 ms
[ 142] 2.308: took 15.871 ms
[ 143] 2.324: took 15.984 ms
[ 144] 2.340: took 15.989 ms
[ 145] 2.356: took 15.935 ms
[ 146] 2.372: took 15.974 ms
[ 147] 2.388: took 15.919 ms
[ 148] 2.404: took 15.890 ms
[ 149] 2.420: took 16.056 ms
[ 150] 2.436: took 15.881 ms
[ 151] 2.452: took 16.125 ms
[ 152] 2.468: took 16.004 ms
[ 153] 2.485: took 16.283 ms
[ 154] 2.501: took 16.178 ms
[ 155] 2.517: took 16.152 ms
[ 156] 2.533: took 16.140 ms
[ 157] 2.550: took 16.057 ms
[ 158] 2.566: took 16.054 ms
[ 159] 2.582: took 16.068 ms
[ 160] 2.598: took 16.041 ms
[ 161] 2.614: took 16.043 ms
[ 162] 2.630: took 16.079 ms
[ 163] 2.646: took 16.076 ms
[ 164] 2.662: took 15.948 ms
[ 165] 2.678: took 16.130 ms
