2019-01-15 17:52:23.640045: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:52:23.640212: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.005: took 29.928 ms
[   1] 0.035: took 8.894 ms
[   2] 0.044: took 8.720 ms
[   3] 0.053: took 8.252 ms
[   4] 0.061: took 8.342 ms
[   5] 0.070: took 8.524 ms
[   6] 0.078: took 8.529 ms
[   7] 0.087: took 8.331 ms
[   8] 0.095: took 8.847 ms
[   9] 0.104: took 8.353 ms
[  10] 0.113: took 8.408 ms
[  11] 0.121: took 8.281 ms
[  12] 0.129: took 8.440 ms
[  13] 0.138: took 8.241 ms
[  14] 0.146: took 8.348 ms
[  15] 0.155: took 8.302 ms
[  16] 0.163: took 8.264 ms
[  17] 0.171: took 8.391 ms
[  18] 0.180: took 8.442 ms
[  19] 0.188: took 8.337 ms
[  20] 0.197: took 8.637 ms
[  21] 0.205: took 8.266 ms
[  22] 0.214: took 8.290 ms
[  23] 0.222: took 8.330 ms
[  24] 0.231: took 8.372 ms
[  25] 0.239: took 8.462 ms
[  26] 0.248: took 8.514 ms
[  27] 0.256: took 8.393 ms
[  28] 0.265: took 8.508 ms
[  29] 0.273: took 8.438 ms
[  30] 0.282: took 8.483 ms
[  31] 0.290: took 8.503 ms
[  32] 0.299: took 8.150 ms
[  33] 0.307: took 8.276 ms
[  34] 0.315: took 7.874 ms
[  35] 0.323: took 7.706 ms
[  36] 0.331: took 7.775 ms
[  37] 0.339: took 7.827 ms
[  38] 0.347: took 7.754 ms
[  39] 0.355: took 7.821 ms
[  40] 0.362: took 7.779 ms
[  41] 0.370: took 7.723 ms
[  42] 0.378: took 7.757 ms
[  43] 0.386: took 7.789 ms
[  44] 0.394: took 7.793 ms
[  45] 0.402: took 7.872 ms
[  46] 0.410: took 7.858 ms
[  47] 0.417: took 7.799 ms
[  48] 0.425: took 7.829 ms
[  49] 0.433: took 7.786 ms
[  50] 0.441: took 7.794 ms
[  51] 0.449: took 7.806 ms
[  52] 0.457: took 7.829 ms
[  53] 0.465: took 7.916 ms
[  54] 0.473: took 7.906 ms
[  55] 0.481: took 7.800 ms
[  56] 0.489: took 7.757 ms
[  57] 0.496: took 7.871 ms
[  58] 0.504: took 7.716 ms
[  59] 0.512: took 7.870 ms
[  60] 0.520: took 7.681 ms
[  61] 0.528: took 8.356 ms
[  62] 0.536: took 8.386 ms
[  63] 0.545: took 8.338 ms
[  64] 0.553: took 8.467 ms
[  65] 0.562: took 8.422 ms
[  66] 0.570: took 8.266 ms
[  67] 0.578: took 8.388 ms
[  68] 0.587: took 8.274 ms
[  69] 0.595: took 8.402 ms
[  70] 0.604: took 8.261 ms
[  71] 0.612: took 8.467 ms
[  72] 0.621: took 8.322 ms
[  73] 0.629: took 8.358 ms
[  74] 0.637: took 8.462 ms
[  75] 0.646: took 8.212 ms
[  76] 0.654: took 8.347 ms
[  77] 0.663: took 8.421 ms
[  78] 0.671: took 8.259 ms
[  79] 0.679: took 8.177 ms
[  80] 0.688: took 8.312 ms
[  81] 0.696: took 8.342 ms
[  82] 0.704: took 8.303 ms
[  83] 0.713: took 8.254 ms
[  84] 0.721: took 8.343 ms
[  85] 0.729: took 8.271 ms
[  86] 0.738: took 8.417 ms
[  87] 0.746: took 8.249 ms
[  88] 0.755: took 8.340 ms
[  89] 0.763: took 8.336 ms
[  90] 0.771: took 8.381 ms
[  91] 0.780: took 8.198 ms
[  92] 0.788: took 8.332 ms
[  93] 0.797: took 8.333 ms
[  94] 0.805: took 8.464 ms
[  95] 0.814: took 8.329 ms
[  96] 0.822: took 8.251 ms
[  97] 0.830: took 8.424 ms
[  98] 0.839: took 8.391 ms
[  99] 0.847: took 8.285 ms
[ 100] 0.856: took 8.356 ms
[ 101] 0.864: took 8.334 ms
[ 102] 0.872: took 8.259 ms
[ 103] 0.881: took 8.360 ms
[ 104] 0.889: took 8.259 ms
[ 105] 0.897: took 8.362 ms
[ 106] 0.906: took 8.352 ms
[ 107] 0.914: took 8.249 ms
[ 108] 0.923: took 8.356 ms
[ 109] 0.931: took 8.258 ms
[ 110] 0.939: took 8.265 ms
[ 111] 0.948: took 8.212 ms
[ 112] 0.956: took 8.286 ms
[ 113] 0.964: took 8.286 ms
[ 114] 0.973: took 8.361 ms
[ 115] 0.981: took 8.248 ms
[ 116] 0.989: took 8.259 ms
[ 117] 0.998: took 8.341 ms
[ 118] 1.006: took 8.402 ms
[ 119] 1.015: took 8.181 ms
[ 120] 1.023: took 8.433 ms
[ 121] 1.031: took 8.329 ms
[ 122] 1.040: took 8.451 ms
[ 123] 1.048: took 8.322 ms
[ 124] 1.057: took 8.348 ms
[ 125] 1.065: took 8.258 ms
[ 126] 1.073: took 8.434 ms
[ 127] 1.082: took 8.309 ms
[ 128] 1.090: took 8.270 ms
[ 129] 1.099: took 8.438 ms
[ 130] 1.107: took 8.418 ms
[ 131] 1.116: took 8.394 ms
[ 132] 1.124: took 8.302 ms
[ 133] 1.132: took 8.277 ms
[ 134] 1.141: took 8.421 ms
[ 135] 1.149: took 8.356 ms
[ 136] 1.158: took 8.226 ms
[ 137] 1.166: took 8.883 ms
[ 138] 1.175: took 7.969 ms
[ 139] 1.183: took 7.775 ms
[ 140] 1.191: took 8.366 ms
[ 141] 1.199: took 8.616 ms
[ 142] 1.208: took 8.445 ms
[ 143] 1.217: took 8.352 ms
[ 144] 1.225: took 8.279 ms
[ 145] 1.233: took 8.368 ms
[ 146] 1.242: took 8.412 ms
[ 147] 1.250: took 8.353 ms
[ 148] 1.259: took 8.316 ms
[ 149] 1.267: took 8.326 ms
[ 150] 1.275: took 8.259 ms
[ 151] 1.284: took 8.325 ms
[ 152] 1.292: took 8.260 ms
[ 153] 1.300: took 8.298 ms
[ 154] 1.309: took 8.352 ms
[ 155] 1.317: took 8.346 ms
[ 156] 1.326: took 8.416 ms
[ 157] 1.334: took 8.376 ms
[ 158] 1.343: took 8.433 ms
[ 159] 1.351: took 8.474 ms
[ 160] 1.360: took 8.295 ms
[ 161] 1.368: took 8.376 ms
[ 162] 1.376: took 8.368 ms
[ 163] 1.385: took 8.272 ms
[ 164] 1.393: took 8.225 ms
[ 165] 1.402: took 8.294 ms
